@RELATION house
@ATTRIBUTE size NUMERIC
@ATTRIBUTE land NUMERIC
@ATTRIBUTE rooms NUMERIC
@ATTRIBUTE granite NUMERIC
@ATTRIBUTE extra_bathroom NUMERIC
@ATTRIBUTE price NUMERIC
@DATA
1000,4000,2,0,0,125000
1000,4000,2,0,0,125000
1100,4000,2,0,0,126510
1100,4000,3,0,0,127022
1100,4000,3,0,0,129646
1200,4000,3,0,1,135353
1200,4000,3,0,0,126166
1200,4000,3,0,0,127926
1200,4000,3,0,1,138559
1200,4000,3,0,1,129241
1300,4000,3,0,1,146173
1300,4000,3,0,0,146768
1300,4000,3,0,0,133873
1300,4000,3,0,0,132155
1300,4000,3,0,1,145703
1400,4000,3,0,1,126284
1400,8000,3,0,1,142295
1400,8000,3,0,1,139263
1500,8000,3,0,1,140993
1500,8000,3,0,0,150000
3000,4000,3,0,1,200000
3000,4000,3,0,1,299277
3100,4000,3,0,1,279115
3100,4000,3,0,1,281862
3100,4000,4,0,0,268137
3200,4000,4,0,0,280626
3200,4000,4,0,0,314887
3200,4000,4,0,1,299962
3200,4000,4,0,0,222973
3300,4000,4,0,1,321094
3300,4000,4,0,1,293201
3300,4000,4,0,1,286370
3300,4000,4,0,0,326450
3400,4000,4,0,1,242232
3400,4000,4,0,1,346846
3400,4000,4,0,1,343136
3500,4000,4,1,1,329205
3500,4000,4,1,1,240128
3500,4000,4,1,1,253907
3500,4000,4,1,1,350000
5000,4000,3,1,1,480000
5000,4000,3,1,0,570136
5000,4000,3,1,1,481043
5100,4000,4,1,1,509700
5100,4000,4,1,0,481244
5100,4000,4,1,0,485027
5200,4000,4,1,1,579773
5200,4000,4,1,0,481742
5200,4000,4,1,0,557651
5300,4000,4,1,0,578615
5300,8000,5,1,1,573900
5300,8000,5,1,0,519978
5300,8000,5,1,0,592941
5400,8000,5,1,1,545248
5400,8000,5,1,1,541410
5400,8000,5,1,0,542761
5500,8000,5,1,0,512224
5500,8000,5,1,1,552028
5500,8000,5,1,1,563411
5500,8000,5,1,0,600000
